,id,Scientific_Name,Common_Name,size,Size_category,Mass,Habitat,Habitat_Category,Migration,Trophic_Level__Feeding_Habits_,Min_Latitude,Max_Latitude,Centroid_Latitude,Centroid_Longitude,Range_Size,General_Describtion,species_status,status
10263,7486,liocichla phoenicea,Red-faced Liocichla,219.5,Medium,49.0,Shrubland,Dense habitats,1,Omnivore,20.18,29.66,26.27,94.63,415025.55,The red-faced liocichla (Liocichla phoenicea) is a species of bird in the family Leiothrichidae.,extant,ENRICHED
10264,5171,liocichla ripponi,Scarlet-faced Liocichla,210.9,Medium,49.0,Shrubland,Dense habitats,1,Omnivore,17.81,26.01,21.87,99.76,385946.87,"The scarlet-faced liocichla (Liocichla ripponi) is a bird in the family Leiothrichidae. The species was recently reclassified as separate from the red-faced liocichla, although some taxonomists consider it to be conspecific.  It is found in Myanmar, Thailand, Vietnam, and southern China.",Least Concern,ENRICHED
10265,1373,locustella amnicola,Sakhalin Grasshopper-Warbler,167.0,Medium,26.1,Shrubland,Semi-open habitats,3,Carnivore,41.43,54.42,46.92,142.84,159311.77,"Sakhalin grasshopper warbler (Helopsaltes amnicola), is a species of grass warbler in the family Locustellidae; it was formerly included in the ""Old World warbler"" assemblage.",Least Concern,ENRICHED
10266,7887,locustella certhiola,Pallas's Grasshopper-Warbler,135.9,Small,14.4,Shrubland,Semi-open habitats,3,Carnivore,35.70,66.07,53.41,108.49,12473259.06,"Pallas's grasshopper warbler (Helopsaltes certhiola), also known as the rusty-rumped warbler, is an Old World warbler in the grass warbler genus Helopsaltes. It breeds in the eastern Palearctic: from the Altai Mountains, Mongolia and Transbaikalia to northeastern China, the Korean Peninsula, and islands in the Sea of Okhotsk (Sakhalin and Kuril Islands). It is migratory, wintering from India eastward to Indonesia. It is a rare migrant in Sri Lanka.",extant,ENRICHED
10267,2193,locustella davidi,Baikal Bush-Warbler,114.9,Small,10.0,Shrubland,Semi-open habitats,3,Carnivore,37.60,55.85,49.15,120.27,1190161.80,"The Baikal bush warbler (Locustella davidi), also known as Baikal grasshopper-warbler or David's bush warbler, is a migratory species of Old World warbler in the family Locustellidae.[1]",Least Concern,ENRICHED
10268,7702,locustella fasciolata,Gray's Grasshopper-Warbler,167.0,Medium,27.14,Shrubland,Semi-open habitats,3,Carnivore,42.81,59.10,53.40,114.97,3559627.54,"Gray's grasshopper warbler (Helopsaltes fasciolatus), also known as Gray's warbler, is a species of grass warbler in the family Locustellidae; it was formerly included in the ""Old World warbler"" assemblage.",Least Concern,ENRICHED
10269,134,locustella kashmirensis,West Himalayan Bush-Warbler,124.7,Small,10.8,Shrubland,Semi-open habitats,1,Carnivore,29.89,32.07,30.94,78.72,27089.74,"The West Himalayan bush warbler (Locustella kashmirensis) is a species of Old World warbler in the family Locustellidae.
It is found in the northwestern Himalayas.",Least Concern,ENRICHED
10270,6633,locustella luteoventris,Brown Bush-Warbler,125.6,Small,13.2,Shrubland,Dense habitats,2,Carnivore,16.80,29.69,24.82,105.55,1644977.71,"The brown bush warbler (Locustella luteoventris) is a songbird species. Formerly placed in the ""Old World warbler"" assemblage as Bradypterus luteoventrus, it is now placed in the newly recognized family Locustellidae.",Least Concern,ENRICHED
10271,2767,locustella major,Long-billed Bush-Warbler,139.7,Small,13.3,Shrubland,Open habitats,2,Carnivore,32.98,38.85,35.68,76.52,72981.07,"The long-billed bush warbler (Locustella major) is a species of Old World warbler in the family Locustellidae.
It is found in China, India, Pakistan, and Tajikistan. It is also known as long-billed grasshopper warbler.",Near Threatened,ENRICHED
10272,2846,locustella mandelli,Russet Bush-Warbler,122.8,Small,11.3,Shrubland,Semi-open habitats,2,Carnivore,11.66,30.04,24.72,106.12,1711612.35,"The russet bush warbler (Locustella mandelli) is a songbird species. Formerly placed in the ""Old World warbler"" assemblage, it is now placed in the newly recognized family Locustellidae. B. mandelli was until recently considered a subspecies of B. seebohmi, and the name ""russet bush warbler"" was applied to the entire species complex. After this was split up, Benguet bush warbler was proposed as a new name for B. seebohmi proper. The species is found in southeast Asia.[1]",Least Concern,ENRICHED
10273,1954,locustella montis,Javan Bush-Warbler,141.9,Small,14.0,Shrubland,Semi-open habitats,1,Carnivore,-9.67,-7.53,-8.02,114.18,8924.70,"The Javan bush warbler (Locustella montis) is a songbird species. Formerly placed in the ""Old World warbler"" assemblage, it is now placed in the newly recognized family Locustellidae.",Least Concern,ENRICHED
10274,9863,locustella naevia,Common Grasshopper-Warbler,140.6,Small,13.3,Shrubland,Semi-open habitats,3,Carnivore,38.77,65.84,52.97,43.23,7984518.20,"The common grasshopper warbler (Locustella naevia) is a species of Old World warbler in the grass warbler genus Locustella. It breeds across much of temperate Europe and the western Palearctic. It is migratory, wintering in north and west Africa.",extant,ENRICHED
10275,6658,locustella ochotensis,Middendorff's Grasshopper-Warbler,152.1,Medium,18.5,Shrubland,Open habitats,3,Carnivore,41.92,61.38,55.49,146.31,837155.24,"The Middendorff's grasshopper warbler (Helopsaltes ochotensis) is a species of Old World warbler in the family Locustellidae.
It breeds in eastern Siberia to northern Japan, Kamchatka Peninsula and northern Kuril Islands. It winters in the Philippines, Borneo and Sulawesi and in small numbers in China, Hong Kong, South Korea, Malaysia, Taiwan and the  U.S.A.",extant,ENRICHED
10276,5661,locustella tacsanowskia,Chinese Bush-Warbler,133.7,Small,14.0,Shrubland,Semi-open habitats,3,Carnivore,22.19,54.31,40.23,110.99,2385550.00,"The Chinese bush warbler (Locustella tacsanowskia) is an Old World warbler in the family Locustellidae. The species was first described by Robert Swinhoe in 1871. It breeds in the East Palearctic (East Siberia to Tibet and South China); it winters to Northeast India, Yunnan and Southeast Asia.
Its natural habitat is temperate forests.",extant,ENRICHED
