,species_no,scientific_name
0,10705,geococcyx californianus
1,10923,cardinalis cardinalis
2,10381,fregata magnificens
3,4652,icterus pyrrhopterus
4,9402,buteo plagiatus
5,6142,chlamydotis undulata fuertaventurae
6,1084,prioniturus waterstradti
7,4067,myiobius sulphureipygius
8,3446,icterus melanopsis
9,10873,trichoglossus moluccanus
